felch
cunt
skullfuck
cum dumpster
alabama hot pocket
cleveland steamer
rusty trombone
blumpkin
cunt face
boner pill
glass bottom boat
cock-juggling thunder cunt
schlong juice
suck a fat baby's dick
fuck hole
meat flap
dva
hairy axe wound
assmucus
motherfucker
beef curtain
cumdump
clitty litter
mother fucker
blue waffle
cum chugger
roast beef curtains
eat hair pie
fuckmeat
motherfucking
fuck
eat a dick
squeeze a steamer
50 yard cunt punt
cum freak
middle leg
fist fuck
baby arm
fuck yo mama
gfy
eat fur pie
key hole
cumjunkie
plug hole
cpw
suck dick
bang (one's) box
fucktoy
chota bags
sausage queen
meat drapes
get some squish
bust a load
enema bag
lick my froth
pussy fart
cunt-struck
sperg
ham flap
cock snot
clit licker
feedbag material
cuntbag
ass fuck
need the dick
butt fuck
coochtang
dick hole
bitch tit
anal impaler
cock pocket
water sports
trouser gravy
smoke a sausage
gmilf
gangbang
nut butter
shit fucker
sweargasm
dick sucker
get brain
cocksucker
heat seeking moisture missile
fuck me in the ass with no vaseline
shum
cum guzzler
snowball
fuck puppet
mow the lawn
slit
blow me
cunt hair
ham wallet
congradufuckulations
big italian salami
fub
shit
ass
arse
cock
boong
gook
faggot
bitch
coon
coonass
tosser
wanker
slag
lost the plot
daft cow
arsehole
barmy
chav
dodgy
git
gormless
manky
minger
muppet
naff
nutter
pikey
pillock
plonker
prat
scrubber
trollop
uphill gardener
twit
knob head
piss off
bell end
lazy sod
skiver
knob
wazzock
ninny
berk
airy-fairy
ankle-biters
arse-licker
arsemonger
chuffer
daft as a bush
dead from the neck up
gannet
gone to the dogs
ligger
like a dog with two dicks
mad as a bag of ferrets
maggot
mingebag
not batting on a full wicket
plug-ugly
fucking
mindfucks?
 [a-z]*fuck[a-z]* 
 [a-z]*shit[a-z]* 
